NAME                                    VERSION                                   TYPE                           
fonts-urw-base35                        20200910-8                                deb                             
fuse3                                   3.14.0-5build1                            deb                             
gcc-13-base                             13.3.0-6ubuntu2~24.04                     deb                             
gcc-14-base                             14.2.0-4ubuntu2~24.04                     deb           (+1 duplicate)    
gcr                                     3.41.2-1build3                            deb                             
gcr4                                    4.2.0-5                                   deb                             
geocode-glib-common                     3.26.3-6build3                            deb                             
gettext                                 0.21-14ubuntu2                            deb                             
gettext                                 UNKNOWN                                   java-archive                    
gettext-base                            0.21-14ubuntu2                            deb                             
ghostscript                             10.02.1~dfsg1-0ubuntu7.4                  deb                             
gir1.2-atk-1.0                          2.52.0-1build1                            deb                             
gir1.2-dbusmenu-glib-0.4                18.10.20180917~bzr492+repack1-3.1ubuntu5  deb                             
gir1.2-freedesktop                      1.80.1-1                                  deb                             
gir1.2-gdkpixbuf-2.0                    2.42.10+dfsg-3ubuntu3.1                   deb                             
gir1.2-girepository-2.0                 1.80.1-1                                  deb                             
gir1.2-glib-2.0                         2.80.0-6ubuntu3.2                         deb                             
gir1.2-gtk-3.0                          3.24.41-4ubuntu1.2                        deb                             
gir1.2-handy-1                          1.8.3-1build2                             deb                             
gir1.2-harfbuzz-0.0                     8.3.0-2build2                             deb                             
gir1.2-ibus-1.0                         1.5.29-2                                  deb                             
gir1.2-notify-0.7                       0.8.3-1build2                             deb                             
gir1.2-packagekitglib-1.0               1.2.8-2ubuntu1.1                          deb                             
gir1.2-pango-1.0                        1.52.1+ds-1build1                         deb                             
gir1.2-polkit-1.0                       124-2ubuntu1                              deb                             
gir1.2-secret-1                         0.21.4-1build3                            deb                             
git                                     1:2.43.0-1ubuntu7.1                       deb                             
git-man                                 1:2.43.0-1ubuntu7.1                       deb                             
github.com/bmatcuk/doublestar/v4        v4.6.1                                    go-module                       
github.com/canonical/go-efilib          v0.4.0                                    go-module     (+5 duplicates)   
github.com/canonical/go-sp800.108-kdf   v0.0.0-20210314145419-a3359f2d21b9        go-module     (+5 duplicates)   
github.com/canonical/go-sp800.90a-drbg  v0.0.0-20210314144037-6eeb1040d6c3        go-module     (+6 duplicates)   
github.com/canonical/go-tpm2            v0.0.0-20210827151749-f80ff5afff61        go-module     (+5 duplicates)   
github.com/canonical/tcglog-parser      v0.0.0-20210824131805-69fa1e9f0ad2        go-module     (+5 duplicates)   
github.com/coreos/go-systemd            v0.0.0-20180511133405-39ca1b05acc7        go-module     (+1 duplicate)    
github.com/godbus/dbus                  v0.0.0-20190726142602-4481cbc300e2        go-module     (+8 duplicates)   
github.com/gorilla/mux                  v1.7.4-0.20190701202633-d83b6ffe499a      go-module     (+1 duplicate)    
github.com/gvalkov/golang-evdev         v0.0.0-20191114124502-287e62b94bcb        go-module                       
github.com/jessevdk/go-flags            v1.5.1-0.20210607101731-3927b71304df      go-module     (+8 duplicates)   
github.com/juju/ratelimit               v1.0.1                                    go-module     (+2 duplicates)   
github.com/mvo5/goconfigparser          v0.0.0-20200803085309-72e476556adb        go-module     (+4 duplicates)   
github.com/seccomp/libseccomp-golang    v0.9.2-0.20220502024300-f57e1d55ea18      go-module                       
github.com/snapcore/go-gettext          v0.0.0-20191107141714-82bbea49e785        go-module     (+8 duplicates)   
github.com/snapcore/maze.io-x-crypto    v0.0.0-20190131090603-9b94c9afe066        go-module     (+5 duplicates)   
github.com/snapcore/secboot             v0.0.0-20240411101434-f3ad7c92552a        go-module     (+6 duplicates)   
github.com/snapcore/snapd               (devel)                                   go-module     (+12 duplicates)  
gkbd-capplet                            3.28.1-1build3                            deb                             
glib-networking                         2.80.0-1build1                            deb                             
glib-networking-common                  2.80.0-1build1                            deb                             
glib-networking-services                2.80.0-1build1                            deb                             
gnome-bluetooth                         42~3.34.5-13build3                        deb                             
gnome-bluetooth-3-common                46.0-1ubuntu1                             deb                             
gnome-bluetooth-sendto                  46.0-1ubuntu1                             deb                             
gnome-control-center-faces              1:46.4-0ubuntu0.24.04.1                   deb                             
gnome-desktop3-data                     44.0-5build2                              deb                             
gnome-keyring                           46.1-2build1                              deb                             
gnome-keyring-pkcs11                    46.1-2build1                              deb                             
gnome-menus                             3.36.0-1.1ubuntu3                         deb                             
gnome-power-manager                     43.0-2build2                              deb                             
gnome-screensaver                       3.6.1-13ubuntu4                           deb                             
gnome-session-bin                       46.0-1ubuntu4                             deb                             
gnome-session-common                    46.0-1ubuntu4                             deb                             
gnome-settings-daemon-common            46.0-1ubuntu1                             deb                             
gnome-startup-applications              46.0-1ubuntu4                             deb                             
gnupg                                   2.4.4-2ubuntu17                           deb                             
gnupg-l10n                              2.4.4-2ubuntu17                           deb                             
gnupg-utils                             2.4.4-2ubuntu17                           deb                             
go.etcd.io/bbolt                        v1.3.9                                    go-module     (+1 duplicate)    
go.mozilla.org/pkcs7                    v0.0.0-20200128120323-432b2356ecb1        go-module     (+5 duplicates)   
golang.org/x/crypto                     v0.17.0                                   go-module     (+9 duplicates)   
golang.org/x/sys                        v0.15.0                                   go-module     (+12 duplicates)  
golang.org/x/term                       v0.15.0                                   go-module     (+2 duplicates)   
golang.org/x/xerrors                    v0.0.0-20220609144429-65e65417b02f        go-module     (+6 duplicates)   
gopkg.in/macaroon.v1                    v1.0.0-20150121114231-ab3940c6c165        go-module     (+2 duplicates)   
gopkg.in/retry.v1                       v1.0.3                                    go-module     (+6 duplicates)   
gopkg.in/tomb.v2                        v2.0.0-20161208151619-d5d1b5820637        go-module     (+12 duplicates)  
gopkg.in/yaml.v2                        v2.4.0                                    go-module     (+12 duplicates)  
gopkg.in/yaml.v3                        v3.0.1                                    go-module                       
gpg                                     2.4.4-2ubuntu17                           deb                             
gpg-agent                               2.4.4-2ubuntu17                           deb                             
gpg-wks-client                          2.4.4-2ubuntu17                           deb                             
gpgconf                                 2.4.4-2ubuntu17                           deb                             
gpgsm                                   2.4.4-2ubuntu17                           deb                             
gpgv                                    2.4.4-2ubuntu17                           deb                             
grep                                    3.11-4build1                              deb                             
greybird-gtk-theme                      3.23.3-1                                  deb                             
groff-base                              1.23.0-3build2                            deb                             
gsettings-desktop-schemas               46.1-0ubuntu1                             deb                             
gsettings-ubuntu-schemas                0.0.7+21.10.20210712-0ubuntu3             deb                             
gstreamer1.0-alsa                       1.24.2-1ubuntu0.2                         deb                             
gstreamer1.0-clutter-3.0                3.0.27-4build1                            deb                             
gstreamer1.0-gl                         1.24.2-1ubuntu0.2                         deb                             
gstreamer1.0-gtk3                       1.24.2-1ubuntu1.1                         deb                             
gstreamer1.0-libav                      1.24.1-1build1                            deb                             
gstreamer1.0-plugins-bad                1.24.2-1ubuntu4                           deb                             
gstreamer1.0-plugins-base               1.24.2-1ubuntu0.2                         deb                             
gstreamer1.0-plugins-good               1.24.2-1ubuntu1.1                         deb                             
gstreamer1.0-plugins-ugly               1.24.1-1build1                            deb                             
gstreamer1.0-pulseaudio                 1.24.2-1ubuntu1.1                         deb                             
gstreamer1.0-qt5                        1.24.2-1ubuntu1.1                         deb                             
gstreamer1.0-tools                      1.24.2-1ubuntu0.1                         deb                             
gstreamer1.0-x                          1.24.2-1ubuntu0.2                         deb                             
gtk-update-icon-cache                   3.24.41-4ubuntu1.2                        deb                             
gtk2-engines-murrine                    0.98.2-4                                  deb                             
gvfs                                    1.54.0-1ubuntu2                           deb                             
gvfs-backends                           1.54.0-1ubuntu2                           deb                             
gvfs-common                             1.54.0-1ubuntu2                           deb                             
gvfs-daemons                            1.54.0-1ubuntu2                           deb                             
gvfs-libs                               1.54.0-1ubuntu2                           deb                             
gzip                                    1.12-1ubuntu3                             deb                             
hicolor-icon-theme                      0.17-2                                    deb                             
hostname                                3.23+nmu2ubuntu2                          deb                             
httplib2                                0.20.4                                    python                          
humanity-icon-theme                     0.6.16                                    deb                             
hunspell-en-us                          1:2020.12.07-2                            deb                             
i965-va-driver                          2.4.1+dfsg1-1build2                       deb                             
ibus                                    1.5.29-2                                  deb                             
ibus-data                               1.5.29-2                                  deb                             
ibus-gtk                                1.5.29-2                                  deb                             
ibus-gtk3                               1.5.29-2                                  deb                             
ibus-gtk4                               1.5.29-2                                  deb                             
ibverbs-providers                       50.0-2build2                              deb                             
idna                                    3.6                                       python                          
im-config                               0.57-2                                    deb                             
indicator-applet                        12.10.2+20.10.20200915-0ubuntu4           deb                             
indicator-application                   12.10.1+19.04.20190308.1-0ubuntu5         deb                             
indicator-appmenu                       15.02.0+20.10.20200617.2-0ubuntu4         deb                             
indicator-bluetooth                     0.0.6+17.10.20170605-0ubuntu5             deb                             
indicator-common                        16.10.0+18.04.20180321.1-0ubuntu8         deb                             
indicator-datetime                      15.10+21.04.20210304-0ubuntu6             deb                             
indicator-keyboard                      0.0.0+19.10.20220803-0ubuntu3.1           deb                             
indicator-messages                      13.10.1+18.10.20180918-0ubuntu7           deb                             
indicator-power                         12.10.6+17.10.20170829.1-0ubuntu9         deb                             
indicator-printers                      0.1.7+17.10.20171101-0ubuntu7             deb                             
indicator-session                       17.3.20+21.10.20210613.1-0ubuntu3         deb                             
indicator-sound                         12.10.2+18.10.20180612-0ubuntu7           deb                             
init-system-helpers                     1.66ubuntu1                               deb                             
intel-media-va-driver                   24.1.0+dfsg1-1                            deb                             
iproute2                                6.1.0-1ubuntu6                            deb                             
iptables                                1.8.10-3ubuntu2                           deb                             
iso-codes                               4.16.0-1                                  deb                             
jayatana                                2.7-0ubuntu8                              deb                             
jayatana                                UNKNOWN                                   java-archive                    
jayatanaag                              UNKNOWN                                   java-archive                    
kasmvncserver                           1.3.3-1                                   deb                             
keyboard-configuration                  1.226ubuntu1                              deb                             
keyboxd                                 2.4.4-2ubuntu17                           deb                             
kmod                                    31+20240202-2ubuntu7                      deb                             
krb5-locales                            1.20.1-6ubuntu2.2                         deb                             
language-pack-af                        1:24.04+20240817                          deb                             
language-pack-af-base                   1:24.04+20240817                          deb                             
language-pack-am                        1:22.04+20220415                          deb                             
language-pack-am-base                   1:22.04+20220415                          deb                             
language-pack-an                        1:23.10+20231006                          deb                             
